1. SM_Env_DirtRoad_End_01  [21.6 x 35.9 m]
2. SM_Env_DirtRoad_Straight_01  [18.1 x 51.9 m]
3. SM_Env_Road_Corner_01  [20.0 x 20.6 m]
4. SM_Env_Road_Corner_02  [15.6 x 15.4 m]
5. SM_Env_Road_Cross_01  [10.0 x 10.0 m]
6. SM_Env_Road_Straight_01  [20.0 x 5.0 m]
7. SM_Env_Road_Straight_02  [20.2 x 5.0 m]
8. SM_Env_Road_Straight_03  [20.1 x 5.0 m]
9. SM_Env_Road_Straight_Damaged_01  [20.0 x 5.0 m]
10. SM_Env_Road_Straight_Damaged_02  [20.2 x 5.0 m]
11. SM_Env_Road_Straight_Damaged_03  [20.1 x 5.0 m]
12. SM_Env_Road_Straight_End_01  [20.0 x 10.6 m]
13. SM_Env_Road_T_01  [10.0 x 15.3 m]
