1. SM_Env_Dirt_Dust_01  [2.1 x 2.2 m]
2. SM_Env_Dirt_Edge_Corner_01  [12.2 x 11.8 m]
3. SM_Env_Dirt_Edge_Corner_02  [8.8 x 8.6 m]
4. SM_Env_Dirt_Edge_Ramp_01  [9.7 x 16.2 m]
5. SM_Env_Dirt_Edge_Ramp_Road_01  [5.4 x 17.1 m]
6. SM_Env_Dirt_Edge_Straight_01  [8.3 x 7.0 m]
7. SM_Env_Dirt_Hole_01  [9.3 x 12.0 m]
8. SM_Env_Dirt_Pile_01  [5.6 x 7.7 m]
9. SM_Env_Dirt_Pile_02  [5.3 x 5.7 m]
10. SM_Env_Dirt_Pile_03  [4.1 x 3.6 m]
11. SM_Env_Dirt_Pile_04  [8.8 x 8.3 m]
12. SM_Env_Dirt_Rock_01  [0.6 x 0.4 m]
13. SM_Env_Dirt_Rock_02  [0.5 x 0.7 m]
14. SM_Env_Dirt_Rock_03  [0.3 x 0.4 m]
15. SM_Env_Dirt_Rock_04  [0.5 x 0.5 m]
16. SM_Env_Dirt_Rocks_01  [1.5 x 1.6 m]
17. SM_Env_Dirt_Rocks_02  [1.4 x 1.7 m]
18. SM_Env_Dirt_Rocks_03  [1.3 x 2.0 m]
19. SM_Env_Dirt_Rocks_04  [0.8 x 1.3 m]
20. SM_Env_Dirt_Round_01  [5.4 x 5.5 m]
21. SM_Env_Dirt_Round_02  [5.1 x 5.3 m]
22. SM_Env_Dirt_Slope_Corner_01  [8.4 x 9.1 m]
23. SM_Env_Dirt_Slope_Straight_01  [8.1 x 5.4 m]
24. SM_Env_Dirt_Square_01  [11.9 x 11.9 m]
25. SM_Env_Dirt_Square_02  [11.0 x 11.0 m]
26. SM_Env_DirtRoad_Corner_01  [8.5 x 10.4 m]
27. SM_Env_DirtRoad_Driveway_01  [11.5 x 15.4 m]
28. SM_Env_DirtRoad_End_01  [9.8 x 15.0 m]
29. SM_Env_DirtRoad_Straight_01  [5.4 x 11.2 m]
30. SM_Env_Sidewalk_Driveway_01  [5.0 x 5.0 m]
31. SM_Env_Sidewalk_Driveway_02  [5.0 x 5.0 m]
