탑다운: 화면 오른쪽=+X, 위쪽=+Z
1. SM_Gen_Env_Road_01  [10.0x10.0m]
2. SM_Gen_Env_Road_Half_01  [5.0x10.0m]
3. SM_Gen_Env_Road_Half_02  [10.0x5.0m]
4. SM_Gen_Env_Road_Small_01  [5.0x5.0m]
5. SM_Gen_Env_Road_Intersection_01  [5.0x10.0m]
6. SM_Gen_Env_Road_Intersection_02  [5.0x5.0m]
7. SM_Gen_Env_Road_Crossing_01  [5.0x5.0m]
8. SM_Gen_Env_Sidewalk_01  [2.5x2.5m]
9. SM_Gen_Env_Sidewalk_Half_01  [2.5x1.3m]
10. SM_Gen_Env_Sidewalk_Corner_01  [2.5x2.5m]
11. SM_Gen_Env_Sidewalk_Corner_02  [2.5x2.5m]
12. SM_Gen_Env_Sidewalk_Edge_01  [2.5x2.5m]
